date;contexte;message
2023-04-24T08:07:37.582Z;/therapists/1/specialities;Not found
2023-04-24T08:09:06.283Z;Base de donnée;erreur de syntaxe sur ou près de « ELECT »
2023-04-24T08:09:08.151Z;Base de donnée;erreur de syntaxe sur ou près de « ELECT »
2023-04-24T08:22:53.149Z;/therapists/specialities;Erreur lors de la récupération d'un therapists
2023-04-24T08:22:57.767Z;/therapists/specialities;Erreur lors de la récupération d'un therapists
2023-04-24T08:23:56.964Z;/therapists/specialities;Erreur lors de la récupération d'un therapists
2023-04-24T08:25:02.730Z;/therapists/specialities;Erreur lors de la récupération d'un therapists
2023-04-24T08:26:00.295Z;/therapists/specialities;Erreur lors de la récupération d'un therapists
2023-04-24T08:29:16.685Z;/therapists/specialties;Erreur lors de la récupération de tout les therapists avec leurs spécialités
2023-04-24T08:38:18.365Z;/therapist;Not found
2023-04-24T08:38:31.268Z;/therapistss;Not found
2023-04-24T08:39:49.764Z;/therapists;Erreur lors de la récupération des therapists
2023-04-24T08:44:36.499Z;/therapis7ts;Not found
2023-04-24T08:44:50.110Z;/therapists;Erreur lors de la création d'un therapists
2023-04-24T08:45:01.822Z;/therapists;Mauvaise requête
2023-04-24T08:45:23.407Z;/therapists;Mauvaise requête
2023-04-24T08:49:05.343Z;/therapist;Not found
2023-04-24T08:57:34.386Z;/therapists;Erreur lors de la récupération des therapists
2023-04-24T09:01:02.729Z;/therapists;Mauvaise requête
2023-04-24T09:01:50.039Z;/therapist;Not found
2023-04-24T09:15:09.208Z;Base de donnée;syntaxe en entrée invalide pour le type integer : « 16dadad »
2023-04-24T09:16:36.571Z;Base de donnée;syntaxe en entrée invalide pour le type integer : « 16ggtg »
2023-04-24T09:16:36.583Z;/therapists/2/appointment/patients/16ggtg;Mauvaise requête
2023-04-24T09:17:23.672Z;/therapists/2/appointment/patient/16;Not found
2023-04-24T09:18:13.808Z;Base de donnée;erreur de syntaxe sur ou près de « appointments »
2023-04-24T09:18:13.823Z;/therapists/2/appointment/patients/16;Mauvaise requête
2023-04-24T09:20:16.369Z;/therapists/2/appointment/patientdds/16;Not found
2023-04-24T09:20:43.695Z;Base de donnée;erreur de syntaxe sur ou près de « INTappointments »
2023-04-24T09:20:43.706Z;/therapists/2/appointment/patients/16;Erreur lors de la création d'un rendez-vous d'un therapist avec un patient
2023-04-24T09:22:01.626Z;/therapists/2/appointment/patients/16;Erreur lors de la création d'un rendez-vous d'un therapist avec un patient
2023-04-24T09:23:08.926Z;/therapists/2/appointment/patients/16;Erreur lors de la création d'un rendez-vous d'un therapist avec un patient
2023-04-24T10:11:05.227Z;/therapistsgg;Not found
2023-04-24T10:17:24.727Z;/therapists/178;Erreur lors de la récupération d'un therapists
2023-04-24T13:24:00.794Z;Base de données;la colonne « answer_5 » n'existe pas
2023-04-24T13:24:33.603Z;Base de données;la colonne « answer_5 » n'existe pas
2023-04-24T13:28:17.049Z;Base de données;la colonne « answer_5 » n'existe pas
2023-04-24T13:28:19.383Z;Base de données;la colonne « answer_5 » n'existe pas
2023-04-24T17:24:47.083Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:24:47.093Z;/patients/quizz;Erreur lors de la réponse au quizz
2023-04-24T17:25:32.327Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:25:32.329Z;/patients/quizz;Erreur lors de la réponse au quizz
2023-04-24T17:25:52.129Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:25:52.136Z;/patients/quizz;Erreur lors de la réponse au quizz
2023-04-24T17:26:48.018Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:26:49.884Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:28:34.720Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:31:22.759Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:34:55.165Z;Base de données;erreur de syntaxe sur ou près de « ) »
2023-04-24T17:37:03.795Z;Base de données;erreur de syntaxe sur ou près de « ) »
